date,sym,side,entry,exit,qty,reason,entry_time,exit_time,rvol,gross,costs,net,R
2022-09-07,AMBUJACEM,L,446.37,448.83,7,eod,09:30,15:10,4.18,17.17,3.32,13.84,0.19
2022-09-14,TATACONSUM,S,840.58,840.42,3,eod,12:55,15:10,6.3,0.48,2.67,-2.2,-0.04
2022-09-20,POWERGRID,S,175.19,176.79,19,stop,09:30,09:50,7.49,-30.42,3.54,-33.96,-1.18
2022-09-20,AMBUJACEM,S,573.71,584.24,5,stop,09:40,13:35,4.23,-52.64,3.06,-55.71,-1.09
2022-09-21,SUNPHARMA,S,915.54,904.55,3,eod,10:30,15:10,4.19,32.97,2.9,30.07,1.44
2022-09-28,CIPLA,S,1098.5,1100.45,3,eod,09:35,15:10,5.38,-5.85,3.5,-9.35,-0.17
2022-09-29,SUNPHARMA,L,938.47,930.38,3,eod,10:15,15:10,5.32,-24.25,2.97,-27.22,-0.68
2022-10-04,ZYDUSLIFE,S,407.45,415.06,8,stop,09:30,11:40,4.42,-60.89,3.48,-64.37,-1.09
2022-10-13,WIPRO,S,191.9,189.59,17,eod,09:30,15:10,10.1,39.26,3.44,35.81,0.51
2022-10-14,LODHA,S,493.78,489.99,6,eod,09:50,15:10,5.19,22.7,3.13,19.57,0.34
2022-10-18,MOTHERSON,S,43.18,42.67,77,eod,10:45,15:10,38.58,39.04,3.51,35.54,0.64
2022-10-19,CGPOWER,L,267.03,262.12,12,stop,09:30,11:30,4.4,-58.97,3.36,-62.34,-1.09
2022-10-20,NESTLEIND,L,1002.7,1002.05,3,eod,09:40,15:10,5.02,-1.96,3.19,-5.15,-0.1
2022-10-20,SIEMENS,L,2927.46,2858.57,1,stop,09:35,13:00,5.83,-68.89,3.06,-71.95,-1.07
2022-10-21,HDFCAMC,L,1041.02,1034.48,3,eod,09:30,15:10,4.61,-19.61,3.3,-22.91,-0.31
2022-10-21,ITC,S,346.68,345.82,9,eod,13:35,15:10,4.64,7.68,3.31,4.38,0.07
2022-10-27,KOTAKBANK,S,373.61,372.89,8,eod,09:40,15:10,6.0,5.81,3.17,2.65,0.08
2022-10-27,PFC,L,85.36,87.92,39,eod,09:45,15:10,4.84,99.58,3.59,95.99,4.08
2022-10-27,HDFCLIFE,L,535.92,531.93,6,stop,10:00,11:35,4.5,-23.9,3.39,-27.3,-1.22
2022-10-28,RECLTD,L,98.55,99.75,33,eod,09:30,15:10,4.57,39.63,3.47,36.15,0.66
2022-10-31,TATAPOWER,S,224.69,225.96,14,eod,09:30,15:10,4.48,-17.85,3.34,-21.2,-0.38
2022-10-31,DRREDDY,S,902.75,886.84,3,eod,09:45,15:10,12.26,47.72,2.85,44.86,0.68
2022-10-31,CUMMINSIND,L,1323.06,1350.32,2,eod,09:30,15:10,9.92,54.53,2.84,51.69,1.12
2022-11-01,LT,S,1994.6,2036.37,1,stop,09:40,11:55,4.46,-41.77,2.13,-43.9,-1.08
2022-11-01,AXISBANK,S,883.71,871.94,3,eod,10:10,15:10,5.61,35.32,2.8,32.52,0.53
2022-11-02,ADANIPORTS,S,830.58,834.52,4,eod,10:00,15:10,4.87,-15.73,3.53,-19.26,-0.25
2022-11-04,IRFC,L,23.16,23.64,143,eod,09:35,15:10,5.03,68.15,3.56,64.6,1.73
2022-11-07,CUMMINSIND,S,1338.23,1336.87,2,eod,09:50,15:10,4.26,2.72,2.84,-0.11,-0.0
